               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042982,            0.011122,           0.0098522,             0.99277,             0.99557,             0.99491,             0.75213,            0.021069,           0.0041754,           0.0037419,           0.0033307,           0.0033307,            0.070024
                   1,            0.029214,           0.0064139,           0.0037008,             0.99869,             0.99955,             0.99498,             0.88206,            0.014417,           0.0032988,           0.0030251,           0.0065321,           0.0065321,            0.039892
                   2,            0.026447,           0.0059151,           0.0031305,             0.99953,              0.9994,               0.995,             0.88981,            0.012876,           0.0031896,            0.002511,           0.0096014,           0.0096014,           0.0096281
                   3,            0.022229,           0.0055378,           0.0024759,             0.99925,             0.99936,               0.995,              0.9239,              0.0097,           0.0027551,           0.0019608,            0.009406,            0.009406,            0.009406
                   4,            0.018366,           0.0049616,           0.0019881,             0.99998,              0.9998,               0.995,             0.96136,             0.00786,           0.0023402,           0.0016901,            0.009406,            0.009406,            0.009406
                   5,            0.016114,           0.0045638,           0.0017104,             0.99998,             0.99965,               0.995,             0.97838,           0.0067783,            0.002095,            0.001438,            0.009208,            0.009208,            0.009208
                   6,            0.014623,           0.0042344,           0.0015281,                   1,             0.99965,               0.995,             0.98809,           0.0057479,           0.0019522,           0.0013198,             0.00901,             0.00901,             0.00901
                   7,             0.01371,           0.0040972,            0.001401,             0.99994,              0.9998,               0.995,             0.98812,           0.0050994,           0.0017731,           0.0011693,            0.008812,            0.008812,            0.008812
                   8,             0.01271,           0.0038597,           0.0012993,              0.9999,             0.99973,               0.995,             0.98764,            0.005224,           0.0018126,           0.0011656,            0.008614,            0.008614,            0.008614
                   9,            0.012305,           0.0037971,            0.001217,             0.99999,              0.9999,               0.995,             0.99191,           0.0044825,           0.0015796,           0.0010537,            0.008416,            0.008416,            0.008416
                  10,            0.011518,           0.0036428,           0.0011417,             0.99997,              0.9998,               0.995,             0.99144,           0.0044045,           0.0016122,           0.0010445,            0.008218,            0.008218,            0.008218
                  11,            0.011328,           0.0035792,           0.0011034,                   1,             0.99975,               0.995,             0.99334,           0.0040148,           0.0015164,          0.00097315,             0.00802,             0.00802,             0.00802
                  12,            0.010863,           0.0035319,           0.0010407,                   1,              0.9999,               0.995,             0.99394,           0.0040089,           0.0014743,          0.00093659,            0.007822,            0.007822,            0.007822
                  13,            0.010178,           0.0033245,          0.00098282,             0.99997,             0.99985,               0.995,             0.99419,           0.0034825,           0.0013219,          0.00086067,            0.007624,            0.007624,            0.007624
                  14,            0.009802,           0.0032468,          0.00094688,             0.99999,              0.9998,               0.995,             0.99403,           0.0033684,           0.0013414,          0.00087831,            0.007426,            0.007426,            0.007426
