               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092533,            0.017444,            0.029413,             0.14923,               0.378,             0.13586,            0.026222,            0.082886,            0.010776,           0.0056731,           0.0032804,           0.0032804,            0.070476
                   1,             0.07592,            0.014137,           0.0066163,             0.31027,                0.62,             0.39485,            0.073585,            0.076751,           0.0094339,            0.003838,           0.0063519,           0.0063519,            0.040214
                   2,            0.073935,            0.011557,           0.0054124,             0.37204,              0.7375,             0.54675,             0.16705,            0.064093,           0.0076682,           0.0034443,           0.0091593,           0.0091593,           0.0096884
                   3,            0.060176,           0.0096958,            0.004688,             0.67444,             0.89908,             0.82991,             0.31143,            0.046719,           0.0069219,           0.0030477,            0.008812,            0.008812,            0.008812
                   4,            0.052255,           0.0087411,           0.0039865,             0.86622,               0.949,             0.93084,             0.56689,            0.038396,           0.0055478,           0.0030569,            0.008812,            0.008812,            0.008812
                   5,            0.045234,           0.0084526,           0.0037478,             0.94178,              0.9775,             0.98631,              0.7115,            0.028238,           0.0055082,           0.0032427,            0.008416,            0.008416,            0.008416
                   6,            0.035266,           0.0082697,           0.0034767,             0.99196,             0.98658,             0.99471,             0.74498,            0.022669,           0.0050306,            0.003301,             0.00802,             0.00802,             0.00802
                   7,             0.03111,           0.0076301,           0.0032322,             0.97405,             0.99466,             0.97886,              0.6905,            0.020102,           0.0046994,           0.0029476,            0.007624,            0.007624,            0.007624
                   8,            0.029593,           0.0075578,           0.0030502,             0.99698,             0.99063,             0.99497,             0.74838,            0.018793,           0.0045078,           0.0027442,            0.007228,            0.007228,            0.007228
                   9,             0.02714,           0.0073276,           0.0028552,              0.9926,               0.997,              0.9949,             0.80503,             0.01659,           0.0042058,           0.0025495,            0.006832,            0.006832,            0.006832
                  10,            0.026524,           0.0070287,           0.0027348,                   1,              0.9999,               0.995,             0.77209,            0.016292,           0.0041877,           0.0025148,            0.006436,            0.006436,            0.006436
                  11,            0.024219,           0.0068878,           0.0025525,             0.99982,              0.9985,               0.995,             0.79739,            0.017058,           0.0039783,           0.0023918,             0.00604,             0.00604,             0.00604
                  12,            0.023695,           0.0066734,           0.0024212,             0.99868,               0.999,               0.995,             0.88789,            0.012442,           0.0036589,           0.0022601,            0.005644,            0.005644,            0.005644
                  13,            0.021453,           0.0063667,           0.0022279,                   1,             0.99986,               0.995,             0.86184,            0.013657,           0.0036722,           0.0021046,            0.005248,            0.005248,            0.005248
                  14,            0.020943,           0.0062682,           0.0021892,             0.99817,               0.999,               0.995,             0.88455,             0.01095,           0.0035272,           0.0020852,            0.004852,            0.004852,            0.004852
                  15,            0.019604,           0.0062489,            0.002039,             0.99989,                   1,               0.995,             0.85694,            0.012691,            0.003477,            0.001951,            0.004456,            0.004456,            0.004456
                  16,            0.018354,           0.0060273,           0.0019408,              0.9995,             0.99976,               0.995,             0.88818,            0.011613,           0.0034419,           0.0018237,             0.00406,             0.00406,             0.00406
                  17,            0.017939,            0.005831,           0.0018615,             0.99998,                   1,               0.995,             0.89677,            0.010443,           0.0032035,           0.0017597,            0.003664,            0.003664,            0.003664
                  18,            0.016138,           0.0055951,           0.0016975,             0.99993,                   1,               0.995,             0.93699,            0.008996,           0.0029969,           0.0015697,            0.003268,            0.003268,            0.003268
                  19,            0.015101,           0.0054576,           0.0015747,             0.99997,                   1,               0.995,             0.91901,            0.010393,           0.0030711,           0.0014837,            0.002872,            0.002872,            0.002872
                  20,            0.013771,           0.0053711,           0.0014822,             0.99994,                   1,               0.995,             0.95817,           0.0076395,           0.0027837,           0.0013568,            0.002476,            0.002476,            0.002476
                  21,            0.013099,           0.0051377,           0.0013479,             0.99996,                   1,               0.995,             0.93586,           0.0077311,           0.0027831,           0.0012652,             0.00208,             0.00208,             0.00208
                  22,            0.011955,           0.0049581,           0.0012368,             0.99994,                   1,               0.995,             0.96596,           0.0073338,           0.0027242,            0.001144,            0.001684,            0.001684,            0.001684
                  23,            0.010958,           0.0050425,           0.0011293,             0.99992,                   1,               0.995,              0.9667,           0.0072524,            0.002631,           0.0010388,            0.001288,            0.001288,            0.001288
                  24,            0.010266,           0.0046564,           0.0010302,             0.99995,                   1,               0.995,              0.9591,           0.0071992,           0.0026192,          0.00096451,            0.000892,            0.000892,            0.000892
