               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085333,            0.016127,            0.022049,             0.42351,               0.641,             0.45961,            0.099049,            0.070848,           0.0095128,           0.0054193,           0.0033067,           0.0033067,             0.07024
                   1,             0.06877,            0.012196,           0.0068963,             0.55264,             0.88573,             0.70404,             0.21681,            0.060375,           0.0073606,           0.0049547,           0.0065085,           0.0065085,            0.040109
                   2,            0.060665,            0.010314,           0.0063358,             0.61455,             0.86973,             0.72599,             0.33242,             0.05616,           0.0066058,           0.0042005,           0.0095784,           0.0095784,           0.0098451
                   3,             0.05033,           0.0092771,           0.0054212,             0.92507,             0.93826,             0.97237,             0.51912,            0.043451,           0.0054521,           0.0039817,            0.009406,            0.009406,            0.009406
                   4,            0.041074,           0.0083099,           0.0045788,              0.8541,             0.95716,             0.95484,             0.49423,            0.035464,           0.0052299,           0.0038872,            0.009406,            0.009406,            0.009406
                   5,            0.034591,           0.0077254,           0.0041775,             0.99427,               0.987,             0.99488,             0.74463,            0.022406,           0.0046559,           0.0037407,            0.009208,            0.009208,            0.009208
                   6,            0.030136,           0.0072085,           0.0037638,             0.99933,               0.999,               0.995,             0.84198,             0.01925,           0.0043272,           0.0031941,             0.00901,             0.00901,             0.00901
                   7,             0.02837,           0.0069035,           0.0033846,             0.99957,               0.995,               0.995,             0.78127,            0.022955,           0.0042007,           0.0031098,            0.008812,            0.008812,            0.008812
                   8,            0.028378,           0.0068173,           0.0032746,              0.9994,                   1,               0.995,             0.86088,            0.017531,           0.0039721,           0.0029573,            0.008614,            0.008614,            0.008614
                   9,            0.026458,           0.0066988,           0.0031219,             0.99994,               0.999,               0.995,             0.80938,            0.019618,           0.0040472,           0.0029502,            0.008416,            0.008416,            0.008416
                  10,            0.024922,            0.006464,           0.0029366,             0.99656,              0.9955,             0.99495,             0.79496,             0.02004,           0.0038905,           0.0027378,            0.008218,            0.008218,            0.008218
                  11,            0.023738,           0.0063492,            0.002749,             0.99999,                   1,               0.995,             0.80504,            0.019661,           0.0038465,           0.0026556,             0.00802,             0.00802,             0.00802
                  12,            0.022564,           0.0061827,           0.0026376,                   1,             0.99992,               0.995,             0.81007,            0.015141,            0.003592,           0.0025843,            0.007822,            0.007822,            0.007822
                  13,            0.022161,           0.0059153,            0.002567,                   1,              0.9998,               0.995,             0.88486,            0.013888,            0.003479,           0.0024559,            0.007624,            0.007624,            0.007624
                  14,            0.021197,           0.0059038,           0.0024799,             0.99994,                   1,               0.995,             0.87412,            0.013147,           0.0032947,           0.0023639,            0.007426,            0.007426,            0.007426
                  15,            0.019715,           0.0058389,           0.0023277,             0.99991,                   1,               0.995,             0.90585,            0.011693,           0.0031666,           0.0021668,            0.007228,            0.007228,            0.007228
                  16,            0.020959,            0.005776,           0.0023208,                   1,             0.99986,               0.995,             0.87658,            0.013296,           0.0033903,           0.0021944,             0.00703,             0.00703,             0.00703
                  17,            0.020552,           0.0056827,           0.0022809,             0.99992,                   1,               0.995,             0.88071,            0.013654,            0.003283,           0.0021336,            0.006832,            0.006832,            0.006832
